library_id,hashtag,sample_id
LRA001_scATAC,TSB-HTO1,LN1017
LRA001_scATAC,TSB-HTO2,LN4032
LRA001_scATAC,TSB-HTO3,LN4037
LRA001_scATAC,TSB-HTO4,LN7164
LRA002_scATAC_SF,TSB-HTO1,SF1270
LRA002_scATAC_SF,TSB-HTO2,SF1295
LRA002_scATAC_SF,TSB-HTO3,SF4000
LRA002_scATAC_SF,TSB-HTO4,SF4005
LRA002_scATAC_LTR,TSB-HTO5,LTR4001
LRA002_scATAC_LTR,TSB-HTO6,LTR4008
LRA002_scATAC_LTR,TSB-HTO7,LTR4023
LRA002_scATAC_LTR,TSB-HTO8,LTR4028
LRA003_scATAC_NRF,TSB-HTO1,NRF4008
LRA003_scATAC_NRF,TSB-HTO2,NRF4010
LRA003_scATAC_NRF,TSB-HTO3,NRF2012
LRA003_scATAC_NRF,TSB-HTO4,NRF4019
LRA003_scATAC_BEL,TSB-HTO5,BEL2104
LRA003_scATAC_BEL,TSB-HTO6,BEL3293
LRA003_scATAC_BEL,TSB-HTO7,BEL0846
LRA003_scATAC_BEL,TSB-HTO8,BEL0554
